token,source_type,container,entries
Buckyball,archive,Confirmed_Trade_Secrets_Bundle.zip,6
Buckyball,top-level,Buckyball_Group_Simulation_Plan.docx,1
Buckyball,top-level,Buckyball_Phase_Three_Logic_Map_Table.docx,1
Buckyball,top-level,Phase_Two_Project_Plan_Buckyball_Simulation.docx,1
DSIL,archive,Download BCASE_Full_Algorithms_with_Code.zip,1
DSIL,archive,TS A.zip,6
MALE,archive,TS A.zip,4
PAARE,archive,Confirmed_Trade_Secrets_Bundle.zip,3
PAARE,archive,TS A.zip,14
PAARE,top-level,TS-PAARE-001 – Eclipse Snatch Reflex Logic Engine.pdf,1
PAARE,top-level,TS-PAARE-001 – Eclipse Snatch Reflex Logic.pdf,1
RRLE,archive,Download BCASE_Full_Algorithms_with_Code.zip,1
RRLE,archive,TS A.zip,2
SCRL,archive,Documentation_Engine_Trade_Secrets.zip,1
SCRL,archive,Download BCASE_Full_Algorithms_with_Code.zip,1
SCRL,archive,TS A.zip,13
TS-2,archive,TS A.zip,2
TS-A,archive,Documentation_Engine_Trade_Secrets.zip,1
TS-A,archive,TS A.zip,1
TS-B,archive,Documentation_Engine_Trade_Secrets.zip,1
TS-B,archive,TS A.zip,3
TS-C,archive,TS A.zip,3
TS-D,archive,Confirmed_Trade_Secrets_Bundle.zip,8
TS-D,archive,TS A.zip,3
TS-E,archive,Documentation_Engine_Trade_Secrets.zip,1
TS-E,archive,TS A.zip,1
TS-F,archive,TS A.zip,1
TS-G,archive,Documentation_Engine_Trade_Secrets.zip,1
TS-G,archive,TS A.zip,1
TS-H,archive,TS A.zip,2
TS-SCDE,archive,Confirmed_Trade_Secrets_Bundle.zip,1
TS01,archive,Confirmed_Trade_Secrets_Bundle.zip,1
TS01,archive,TS A.zip,3
TS1,archive,Documentation_Engine_Trade_Secrets.zip,1
TS1,archive,TS A.zip,1
TS2,archive,Documentation_Engine_Trade_Secrets.zip,1
TS2,archive,TS A.zip,1
TS3,archive,Documentation_Engine_Trade_Secrets.zip,1
TS3,archive,TS A.zip,1
TS6,archive,Confirmed_Trade_Secrets_Bundle.zip,3
buckyball,top-level,buckyball_project_summary.doc,1
ts1,archive,TS A.zip,2
